name,type,value,date
Egor,Germany,2654,2012/03/26
RAVEman,Ukraine,2591,2012/03/26
hos.lyric,Japan,2559,2012/03/26
rng_58,Japan,2524,2012/03/26
niyaznigmatul,Russia,2504,2012/03/26
ilyakor,Switzerland,2499,2012/03/26
PavelKunyavskiy,Russia,2490,2012/03/26
ACRush,China,2489,2012/03/26
tourist,Belarus,2906,2012/03/28
Petr,Russia,2703,2012/03/28
Egor,Germany,2651,2012/03/28
rng_58,Japan,2581,2012/03/28
hos.lyric,Japan,2559,2012/03/28
RAVEman,Ukraine,2556,2012/03/28
ilyakor,Switzerland,2499,2012/03/28
PavelKunyavskiy,Russia,2490,2012/03/28
ACRush,China,2489,2012/03/28
neal,United States,2477,2012/03/28
tourist,Belarus,2919,2012/04/07
Petr,Russia,2711,2012/04/07
Egor,Germany,2651,2012/04/07
rng_58,Japan,2595,2012/04/07
hos.lyric,Japan,2559,2012/04/07
RAVEman,Ukraine,2556,2012/04/07
ilyakor,Switzerland,2499,2012/04/07
ACRush,China,2489,2012/04/07
neal,United States,2477,2012/04/07
Coder,Unknown,2475,2012/04/07
tourist,Belarus,2877,2012/04/09
Petr,Russia,2711,2012/04/09
hos.lyric,Japan,2625,2012/04/09
rng_58,Japan,2610,2012/04/09
Egor,Germany,2581,2012/04/09
RAVEman,Ukraine,2508,2012/04/09
ACRush,China,2489,2012/04/09
Coder,Unknown,2475,2012/04/09
Zhukov_Dmitry,Russia,2459,2012/04/09
tmt514,Taiwan,2442,2012/04/09
tourist,Belarus,2887,2012/04/14
Petr,Russia,2711,2012/04/14
hos.lyric,Japan,2625,2012/04/14
rng_58,Japan,2610,2012/04/14
Egor,Germany,2561,2012/04/14
RAVEman,Ukraine,2508,2012/04/14
ACRush,China,2489,2012/04/14
Zhukov_Dmitry,Russia,2484,2012/04/14
Coder,Unknown,2475,2012/04/14
ilyakor,Switzerland,2469,2012/04/14
tourist,Belarus,2887,2012/04/21
Petr,Russia,2711,2012/04/21
hos.lyric,Japan,2625,2012/04/21
rng_58,Japan,2610,2012/04/21
Egor,Germany,2561,2012/04/21
RAVEman,Ukraine,2508,2012/04/21
ACRush,China,2489,2012/04/21
Zhukov_Dmitry,Russia,2485,2012/04/21
Coder,Unknown,2475,2012/04/21
ilyakor,Switzerland,2469,2012/04/21
tourist,Belarus,2887,2012/04/27
Petr,Russia,2711,2012/04/27
rng_58,Japan,2626,2012/04/27
hos.lyric,Japan,2625,2012/04/27
Egor,Germany,2561,2012/04/27
RAVEman,Ukraine,2508,2012/04/27
ACRush,China,2489,2012/04/27
Zhukov_Dmitry,Russia,2485,2012/04/27
Coder,Unknown,2475,2012/04/27
ilyakor,Switzerland,2469,2012/04/27
tourist,Belarus,2887,2012/04/29
Petr,Russia,2711,2012/04/29
hos.lyric,Japan,2652,2012/04/29
rng_58,Japan,2582,2012/04/29
Egor,Germany,2561,2012/04/29
RAVEman,Ukraine,2508,2012/04/29
ACRush,China,2489,2012/04/29
Zhukov_Dmitry,Russia,2485,2012/04/29
Coder,Unknown,2475,2012/04/29
ilyakor,Switzerland,2469,2012/04/29
tourist,Belarus,2887,2012/05/11
Petr,Russia,2711,2012/05/11
hos.lyric,Japan,2652,2012/05/11
Egor,Germany,2583,2012/05/11
rng_58,Japan,2528,2012/05/11
RAVEman,Ukraine,2508,2012/05/11
ACRush,China,2489,2012/05/11
Zhukov_Dmitry,Russia,2485,2012/05/11
Coder,Unknown,2475,2012/05/11
ilyakor,Switzerland,2469,2012/05/11
tourist,Belarus,2887,2012/05/28
Petr,Russia,2711,2012/05/28
hos.lyric,Japan,2652,2012/05/28
Egor,Germany,2583,2012/05/28
RAVEman,Ukraine,2508,2012/05/28
ACRush,China,2489,2012/05/28
Zhukov_Dmitry,Russia,2485,2012/05/28
rng_58,Japan,2481,2012/05/28
Coder,Unknown,2475,2012/05/28
ilyakor,Switzerland,2469,2012/05/28
tourist,Belarus,2902,2012/06/04
Petr,Russia,2762,2012/06/04
Egor,Germany,2603,2012/06/04
hos.lyric,Japan,2603,2012/06/04
RAVEman,Ukraine,2508,2012/06/04
ACRush,China,2489,2012/06/04
Zhukov_Dmitry,Russia,2485,2012/06/04
Coder,Unknown,2475,2012/06/04
tmt514,Taiwan,2437,2012/06/04
neal,United States,2436,2012/06/04
tourist,Belarus,2938,2012/06/12
Petr,Russia,2764,2012/06/12
hos.lyric,Japan,2613,2012/06/12
Egor,Germany,2572,2012/06/12
RAVEman,Ukraine,2569,2012/06/12
ACRush,China,2489,2012/06/12
Zhukov_Dmitry,Russia,2485,2012/06/12
Coder,Unknown,2475,2012/06/12
sevenkplus,China,2460,2012/06/12
RAD,Russia,2454,2012/06/12
tourist,Belarus,2964,2012/06/23
Petr,Russia,2837,2012/06/23
hos.lyric,Japan,2613,2012/06/23
RAVEman,Ukraine,2530,2012/06/23
Egor,Germany,2523,2012/06/23
ACRush,China,2489,2012/06/23
Zhukov_Dmitry,Russia,2485,2012/06/23
al13n,United States,2480,2012/06/23
Coder,Unknown,2475,2012/06/23
RAD,Russia,2454,2012/06/23
tourist,Belarus,2964,2012/06/30
Petr,Russia,2837,2012/06/30
hos.lyric,Japan,2613,2012/06/30
rng_58,Japan,2547,2012/06/30
Egor,Germany,2532,2012/06/30
ACRush,China,2489,2012/06/30
al13n,United States,2471,2012/06/30
RAVEman,Ukraine,2456,2012/06/30
RAD,Russia,2454,2012/06/30
tmt514,Taiwan,2437,2012/06/30
tourist,Belarus,3022,2012/07/12
Petr,Russia,2837,2012/07/12
hos.lyric,Japan,2613,2012/07/12
rng_58,Japan,2586,2012/07/12
Egor,Germany,2545,2012/07/12
RAVEman,Ukraine,2517,2012/07/12
RAD,Russia,2501,2012/07/12
ACRush,China,2454,2012/07/12
tmt514,Taiwan,2437,2012/07/12
neal,United States,2436,2012/07/12
tourist,Belarus,3010,2012/07/15
Petr,Russia,2837,2012/07/15
hos.lyric,Japan,2613,2012/07/15
rng_58,Japan,2550,2012/07/15
Egor,Germany,2545,2012/07/15
RAD,Russia,2501,2012/07/15
RAVEman,Ukraine,2473,2012/07/15
ACRush,China,2454,2012/07/15
tmt514,Taiwan,2453,2012/07/15
sevenkplus,China,2443,2012/07/15
tourist,Belarus,2998,2012/07/31
Petr,Russia,2866,2012/07/31
Egor,Germany,2631,2012/07/31
hos.lyric,Japan,2613,2012/07/31
rng_58,Japan,2550,2012/07/31
RAD,Russia,2530,2012/07/31
RAVEman,Ukraine,2490,2012/07/31
ACRush,China,2454,2012/07/31
tmt514,Taiwan,2453,2012/07/31
sevenkplus,China,2443,2012/07/31
tourist,Belarus,2973,2012/08/18
Petr,Russia,2850,2012/08/18
rng_58,Japan,2638,2012/08/18
hos.lyric,Japan,2613,2012/08/18
Egor,Germany,2532,2012/08/18
ACRush,China,2490,2012/08/18
Zhukov_Dmitry,Russia,2465,2012/08/18
tmt514,Taiwan,2453,2012/08/18
RAD,Russia,2442,2012/08/18
RAVEman,Ukraine,2435,2012/08/18
tourist,Belarus,2973,2012/09/01
Petr,Russia,2850,2012/09/01
rng_58,Japan,2663,2012/09/01
hos.lyric,Japan,2613,2012/09/01
Egor,Germany,2496,2012/09/01
RAD,Russia,2493,2012/09/01
ACRush,China,2490,2012/09/01
RAVEman,Ukraine,2463,2012/09/01
tmt514,Taiwan,2453,2012/09/01
al13n,United States,2407,2012/09/01
tourist,Belarus,2991,2012/09/17
Petr,Russia,2912,2012/09/17
rng_58,Japan,2663,2012/09/17
hos.lyric,Japan,2613,2012/09/17
Egor,Germany,2535,2012/09/17
RAD,Russia,2493,2012/09/17
ACRush,China,2490,2012/09/17
RAVEman,Ukraine,2463,2012/09/17
tmt514,Taiwan,2453,2012/09/17
al13n,United States,2427,2012/09/17
tourist,Belarus,2991,2012/09/25
Petr,Russia,2912,2012/09/25
rng_58,Japan,2663,2012/09/25
hos.lyric,Japan,2613,2012/09/25
Egor,Germany,2579,2012/09/25
RAVEman,Ukraine,2509,2012/09/25
RAD,Russia,2493,2012/09/25
ACRush,China,2472,2012/09/25
tmt514,Taiwan,2453,2012/09/25
al13n,United States,2427,2012/09/25
tourist,Belarus,2991,2012/10/02
Petr,Russia,2912,2012/10/02
rng_58,Japan,2663,2012/10/02
hos.lyric,Japan,2613,2012/10/02
Egor,Germany,2577,2012/10/02
RAVEman,Ukraine,2509,2012/10/02
RAD,Russia,2493,2012/10/02
ACRush,China,2472,2012/10/02
tmt514,Taiwan,2453,2012/10/02
Shik,Taiwan,2428,2012/10/02
tourist,Belarus,3042,2012/10/12
Petr,Russia,2912,2012/10/12
rng_58,Japan,2708,2012/10/12
hos.lyric,Japan,2613,2012/10/12
Egor,Germany,2605,2012/10/12
RAVEman,Ukraine,2509,2012/10/12
RAD,Russia,2493,2012/10/12
ACRush,China,2472,2012/10/12
tmt514,Taiwan,2453,2012/10/12
Shik,Taiwan,2428,2012/10/12
tourist,Belarus,3022,2012/10/16
Petr,Russia,2912,2012/10/16
rng_58,Japan,2708,2012/10/16
Egor,Germany,2625,2012/10/16
hos.lyric,Japan,2613,2012/10/16
RAVEman,Ukraine,2509,2012/10/16
RAD,Russia,2484,2012/10/16
ACRush,China,2472,2012/10/16
tmt514,Taiwan,2453,2012/10/16
Chmel_Tolstiy,Belarus,2404,2012/10/16
tourist,Belarus,2977,2012/10/21
Petr,Russia,2902,2012/10/21
rng_58,Japan,2781,2012/10/21
Egor,Germany,2643,2012/10/21
hos.lyric,Japan,2613,2012/10/21
RAVEman,Ukraine,2509,2012/10/21
RAD,Russia,2490,2012/10/21
ACRush,China,2472,2012/10/21
tmt514,Taiwan,2453,2012/10/21
Chmel_Tolstiy,Belarus,2404,2012/10/21
tourist,Belarus,3034,2012/11/02
Petr,Russia,2902,2012/11/02
rng_58,Japan,2805,2012/11/02
Egor,Germany,2668,2012/11/02
hos.lyric,Japan,2613,2012/11/02
RAD,Russia,2531,2012/11/02
RAVEman,Ukraine,2520,2012/11/02
ACRush,China,2472,2012/11/02
tmt514,Taiwan,2453,2012/11/02
liympanda,China,2446,2012/11/02
tourist,Belarus,3082,2012/11/05
Petr,Russia,2902,2012/11/05
rng_58,Japan,2805,2012/11/05
Egor,Germany,2668,2012/11/05
hos.lyric,Japan,2613,2012/11/05
RAVEman,Ukraine,2553,2012/11/05
ACRush,China,2472,2012/11/05
tmt514,Taiwan,2453,2012/11/05
liympanda,China,2446,2012/11/05
RAD,Russia,2438,2012/11/05
tourist,Belarus,3016,2012/11/17
Petr,Russia,2838,2012/11/17
rng_58,Japan,2821,2012/11/17
Egor,Germany,2689,2012/11/17
hos.lyric,Japan,2613,2012/11/17
RAVEman,Ukraine,2553,2012/11/17
ACRush,China,2472,2012/11/17
RAD,Russia,2438,2012/11/17
tmt514,Taiwan,2428,2012/11/17
Chmel_Tolstiy,Belarus,2404,2012/11/17
tourist,Belarus,3016,2012/11/26
Petr,Russia,2838,2012/11/26
rng_58,Japan,2821,2012/11/26
Egor,Germany,2689,2012/11/26
hos.lyric,Japan,2613,2012/11/26
RAVEman,Ukraine,2553,2012/11/26
ACRush,China,2472,2012/11/26
RAD,Russia,2456,2012/11/26
tmt514,Taiwan,2428,2012/11/26
Chmel_Tolstiy,Belarus,2404,2012/11/26
tourist,Belarus,3030,2012/12/07
rng_58,Japan,2833,2012/12/07
Petr,Russia,2789,2012/12/07
Egor,Germany,2763,2012/12/07
hos.lyric,Japan,2613,2012/12/07
RAVEman,Ukraine,2553,2012/12/07
ACRush,China,2472,2012/12/07
RAD,Russia,2456,2012/12/07
tmt514,Taiwan,2428,2012/12/07
al13n,United States,2407,2012/12/07
tourist,Belarus,3030,2012/12/17
rng_58,Japan,2840,2012/12/17
Petr,Russia,2789,2012/12/17
Egor,Germany,2704,2012/12/17
hos.lyric,Japan,2613,2012/12/17
RAVEman,Ukraine,2553,2012/12/17
al13n,United States,2488,2012/12/17
RAD,Russia,2477,2012/12/17
ACRush,China,2472,2012/12/17
tmt514,Taiwan,2428,2012/12/17
tourist,Belarus,3030,2012/12/23
rng_58,Japan,2873,2012/12/23
Petr,Russia,2781,2012/12/23
Egor,Germany,2656,2012/12/23
hos.lyric,Japan,2558,2012/12/23
RAVEman,Ukraine,2553,2012/12/23
ACRush,China,2472,2012/12/23
al13n,United States,2448,2012/12/23
tmt514,Taiwan,2428,2012/12/23
RAD,Russia,2424,2012/12/23
tourist,Belarus,3030,2013/01/14
rng_58,Japan,2809,2013/01/14
Petr,Russia,2736,2013/01/14
Egor,Germany,2679,2013/01/14
RAVEman,Ukraine,2579,2013/01/14
PavelKunyavskiy,Russia,2507,2013/01/14
al13n,United States,2489,2013/01/14
ACRush,China,2472,2013/01/14
hos.lyric,Japan,2459,2013/01/14
RAD,Russia,2449,2013/01/14
tourist,Belarus,3030,2013/01/20
Petr,Russia,2812,2013/01/20
rng_58,Japan,2809,2013/01/20
Egor,Germany,2630,2013/01/20
RAVEman,Ukraine,2545,2013/01/20
PavelKunyavskiy,Russia,2544,2013/01/20
al13n,United States,2542,2013/01/20
ACRush,China,2472,2013/01/20
scott_wu,United States,2459,2013/01/20
hos.lyric,Japan,2459,2013/01/20
tourist,Belarus,3026,2013/02/02
rng_58,Japan,2820,2013/02/02
Petr,Russia,2766,2013/02/02
Egor,Germany,2692,2013/02/02
PavelKunyavskiy,Russia,2646,2013/02/02
al13n,United States,2573,2013/02/02
RAVEman,Ukraine,2510,2013/02/02
Zhukov_Dmitry,Russia,2483,2013/02/02
ACRush,China,2472,2013/02/02
scott_wu,United States,2459,2013/02/02
tourist,Belarus,3039,2013/02/14
rng_58,Japan,2822,2013/02/14
Petr,Russia,2766,2013/02/14
Egor,Germany,2692,2013/02/14
PavelKunyavskiy,Russia,2596,2013/02/14
tmt514,Taiwan,2540,2013/02/14
scott_wu,United States,2523,2013/02/14
al13n,United States,2503,2013/02/14
RAVEman,Ukraine,2494,2013/02/14
Zhukov_Dmitry,Russia,2483,2013/02/14
tourist,Belarus,3039,2013/02/21
rng_58,Japan,2884,2013/02/21
Petr,Russia,2802,2013/02/21
Egor,Germany,2692,2013/02/21
PavelKunyavskiy,Russia,2599,2013/02/21
tmt514,Taiwan,2540,2013/02/21
scott_wu,United States,2523,2013/02/21
RAVEman,Ukraine,2494,2013/02/21
Zhukov_Dmitry,Russia,2483,2013/02/21
KADR,Ukraine,2474,2013/02/21
tourist,Belarus,3039,2013/03/01
rng_58,Japan,2945,2013/03/01
Petr,Russia,2822,2013/03/01
Egor,Germany,2743,2013/03/01
PavelKunyavskiy,Russia,2623,2013/03/01
tmt514,Taiwan,2540,2013/03/01
scott_wu,United States,2523,2013/03/01
RAVEman,Ukraine,2504,2013/03/01
Zhukov_Dmitry,Russia,2483,2013/03/01
al13n,United States,2478,2013/03/01
tourist,Belarus,2990,2013/03/11
rng_58,Japan,2945,2013/03/11
Petr,Russia,2828,2013/03/11
Egor,Germany,2680,2013/03/11
tmt514,Taiwan,2540,2013/03/11
PavelKunyavskiy,Russia,2524,2013/03/11
RAVEman,Ukraine,2504,2013/03/11
Zhukov_Dmitry,Russia,2483,2013/03/11
al13n,United States,2478,2013/03/11
scott_wu,United States,2474,2013/03/11
tourist,Belarus,2990,2013/03/18
rng_58,Japan,2965,2013/03/18
Petr,Russia,2828,2013/03/18
Egor,Germany,2651,2013/03/18
al13n,United States,2584,2013/03/18
tmt514,Taiwan,2540,2013/03/18
PavelKunyavskiy,Russia,2524,2013/03/18
RAD,Russia,2502,2013/03/18
Zhukov_Dmitry,Russia,2483,2013/03/18
scott_wu,United States,2474,2013/03/18
tourist,Belarus,2990,2013/03/23
rng_58,Japan,2965,2013/03/23
Petr,Russia,2828,2013/03/23
al13n,United States,2675,2013/03/23
Egor,Germany,2671,2013/03/23
tmt514,Taiwan,2526,2013/03/23
PavelKunyavskiy,Russia,2524,2013/03/23
bmerry,South Africa,2490,2013/03/23
Zhukov_Dmitry,Russia,2483,2013/03/23
scott_wu,United States,2474,2013/03/23
tourist,Belarus,2990,2013/04/03
rng_58,Japan,2962,2013/04/03
Petr,Russia,2828,2013/04/03
al13n,United States,2675,2013/04/03
Egor,Germany,2588,2013/04/03
tmt514,Taiwan,2526,2013/04/03
PavelKunyavskiy,Russia,2524,2013/04/03
RAD,Russia,2501,2013/04/03
bmerry,South Africa,2490,2013/04/03
Zhukov_Dmitry,Russia,2483,2013/04/03
tourist,Belarus,2990,2013/04/12
rng_58,Japan,2900,2013/04/12
Petr,Russia,2828,2013/04/12
al13n,United States,2629,2013/04/12
PavelKunyavskiy,Russia,2550,2013/04/12
Egor,Germany,2550,2013/04/12
tmt514,Taiwan,2526,2013/04/12
bmerry,South Africa,2490,2013/04/12
Zhukov_Dmitry,Russia,2483,2013/04/12
scott_wu,United States,2474,2013/04/12
tourist,Belarus,3051,2013/04/16
Petr,Russia,2848,2013/04/16
rng_58,Japan,2842,2013/04/16
Egor,Germany,2605,2013/04/16
al13n,United States,2583,2013/04/16
PavelKunyavskiy,Russia,2549,2013/04/16
RAD,Russia,2546,2013/04/16
niyaznigmatul,Russia,2527,2013/04/16
tmt514,Taiwan,2526,2013/04/16
KADR,Ukraine,2496,2013/04/16
tourist,Belarus,3103,2013/04/20
Petr,Russia,2848,2013/04/20
rng_58,Japan,2828,2013/04/20
Egor,Germany,2613,2013/04/20
al13n,United States,2583,2013/04/20
PavelKunyavskiy,Russia,2545,2013/04/20
tmt514,Taiwan,2526,2013/04/20
bmerry,South Africa,2490,2013/04/20
Zhukov_Dmitry,Russia,2483,2013/04/20
RAVEman,Ukraine,2480,2013/04/20
tourist,Belarus,3157,2013/04/23
rng_58,Japan,2860,2013/04/23
Petr,Russia,2744,2013/04/23
Egor,Germany,2694,2013/04/23
al13n,United States,2564,2013/04/23
PavelKunyavskiy,Russia,2554,2013/04/23
niyaznigmatul,Russia,2545,2013/04/23
tmt514,Taiwan,2526,2013/04/23
ilyakor,Switzerland,2520,2013/04/23
bmerry,South Africa,2490,2013/04/23
tourist,Belarus,3157,2013/05/12
rng_58,Japan,2771,2013/05/12
Petr,Russia,2746,2013/05/12
Egor,Germany,2694,2013/05/12
PavelKunyavskiy,Russia,2532,2013/05/12
scott_wu,United States,2528,2013/05/12
ilyakor,Switzerland,2520,2013/05/12
al13n,United States,2518,2013/05/12
tmt514,Taiwan,2496,2013/05/12
bmerry,South Africa,2490,2013/05/12
tourist,Belarus,3188,2013/05/17
rng_58,Japan,2775,2013/05/17
Petr,Russia,2746,2013/05/17
Egor,Germany,2734,2013/05/17
PavelKunyavskiy,Russia,2532,2013/05/17
scott_wu,United States,2528,2013/05/17
al13n,United States,2527,2013/05/17
tmt514,Taiwan,2496,2013/05/17
bmerry,South Africa,2490,2013/05/17
Zhukov_Dmitry,Russia,2489,2013/05/17
tourist,Belarus,3188,2013/06/08
rng_58,Japan,2798,2013/06/08
Petr,Russia,2746,2013/06/08
Egor,Germany,2633,2013/06/08
al13n,United States,2602,2013/06/08
PavelKunyavskiy,Russia,2564,2013/06/08
scott_wu,United States,2528,2013/06/08
tmt514,Taiwan,2518,2013/06/08
bmerry,South Africa,2490,2013/06/08
Zhukov_Dmitry,Russia,2489,2013/06/08
tourist,Belarus,3195,2013/06/13
rng_58,Japan,2817,2013/06/13
Petr,Russia,2756,2013/06/13
Egor,Germany,2653,2013/06/13
al13n,United States,2580,2013/06/13
PavelKunyavskiy,Russia,2557,2013/06/13
bmerry,South Africa,2544,2013/06/13
KADR,Ukraine,2537,2013/06/13
Zhukov_Dmitry,Russia,2532,2013/06/13
scott_wu,United States,2528,2013/06/13
tourist,Belarus,3088,2013/06/15
rng_58,Japan,2814,2013/06/15
Petr,Russia,2756,2013/06/15
Egor,Germany,2635,2013/06/15
al13n,United States,2609,2013/06/15
PavelKunyavskiy,Russia,2557,2013/06/15
bmerry,South Africa,2544,2013/06/15
Zhukov_Dmitry,Russia,2532,2013/06/15
scott_wu,United States,2528,2013/06/15
abacabadabacaba,Russia,2497,2013/06/15
tourist,Belarus,3088,2013/06/23
rng_58,Japan,2814,2013/06/23
Egor,Germany,2679,2013/06/23
Petr,Russia,2654,2013/06/23
al13n,United States,2609,2013/06/23
scott_wu,United States,2564,2013/06/23
PavelKunyavskiy,Russia,2564,2013/06/23
bmerry,South Africa,2544,2013/06/23
Zhukov_Dmitry,Russia,2532,2013/06/23
RAVEman,Ukraine,2528,2013/06/23
tourist,Belarus,3088,2013/06/29
rng_58,Japan,2852,2013/06/29
Egor,Germany,2717,2013/06/29
Petr,Russia,2654,2013/06/29
al13n,United States,2607,2013/06/29
scott_wu,United States,2564,2013/06/29
PavelKunyavskiy,Russia,2564,2013/06/29
RAD,Russia,2563,2013/06/29
bmerry,South Africa,2544,2013/06/29
niyaznigmatul,Russia,2533,2013/06/29
tourist,Belarus,3088,2013/07/14
rng_58,Japan,2852,2013/07/14
Petr,Russia,2718,2013/07/14
Egor,Germany,2692,2013/07/14
bmerry,South Africa,2610,2013/07/14
scott_wu,United States,2564,2013/07/14
PavelKunyavskiy,Russia,2564,2013/07/14
al13n,United States,2538,2013/07/14
niyaznigmatul,Russia,2533,2013/07/14
Zhukov_Dmitry,Russia,2532,2013/07/14
tourist,Belarus,3088,2013/07/17
rng_58,Japan,2852,2013/07/17
Egor,Germany,2724,2013/07/17
Petr,Russia,2700,2013/07/17
bmerry,South Africa,2610,2013/07/17
scott_wu,United States,2564,2013/07/17
PavelKunyavskiy,Russia,2564,2013/07/17
al13n,United States,2538,2013/07/17
Zhukov_Dmitry,Russia,2532,2013/07/17
RAVEman,Ukraine,2528,2013/07/17
tourist,Belarus,3136,2013/07/18
rng_58,Japan,2848,2013/07/18
Egor,Germany,2724,2013/07/18
Petr,Russia,2700,2013/07/18
bmerry,South Africa,2610,2013/07/18
PavelKunyavskiy,Russia,2588,2013/07/18
scott_wu,United States,2567,2013/07/18
al13n,United States,2538,2013/07/18
Zhukov_Dmitry,Russia,2532,2013/07/18
RAVEman,Ukraine,2528,2013/07/18
tourist,Belarus,3072,2013/07/20
rng_58,Japan,2848,2013/07/20
Petr,Russia,2725,2013/07/20
Egor,Germany,2724,2013/07/20
bmerry,South Africa,2610,2013/07/20
RAVEman,Ukraine,2605,2013/07/20
PavelKunyavskiy,Russia,2588,2013/07/20
scott_wu,United States,2587,2013/07/20
tmt514,Taiwan,2556,2013/07/20
al13n,United States,2538,2013/07/20
tourist,Belarus,3072,2013/07/27
rng_58,Japan,2848,2013/07/27
Petr,Russia,2725,2013/07/27
RAVEman,Ukraine,2665,2013/07/27
Egor,Germany,2649,2013/07/27
PavelKunyavskiy,Russia,2634,2013/07/27
bmerry,South Africa,2610,2013/07/27
scott_wu,United States,2587,2013/07/27
tmt514,Taiwan,2556,2013/07/27
al13n,United States,2538,2013/07/27
tourist,Belarus,3121,2013/08/04
rng_58,Japan,2848,2013/08/04
Petr,Russia,2753,2013/08/04
RAVEman,Ukraine,2665,2013/08/04
PavelKunyavskiy,Russia,2634,2013/08/04
scott_wu,United States,2633,2013/08/04
bmerry,South Africa,2610,2013/08/04
Egor,Germany,2603,2013/08/04
RAD,Russia,2590,2013/08/04
tmt514,Taiwan,2556,2013/08/04
tourist,Belarus,3165,2013/08/17
rng_58,Japan,2834,2013/08/17
Petr,Russia,2753,2013/08/17
RAVEman,Ukraine,2665,2013/08/17
PavelKunyavskiy,Russia,2634,2013/08/17
scott_wu,United States,2633,2013/08/17
bmerry,South Africa,2610,2013/08/17
Egor,Germany,2603,2013/08/17
RAD,Russia,2590,2013/08/17
tmt514,Taiwan,2556,2013/08/17
tourist,Belarus,3165,2013/08/31
rng_58,Japan,2834,2013/08/31
Petr,Russia,2753,2013/08/31
RAVEman,Ukraine,2665,2013/08/31
scott_wu,United States,2633,2013/08/31
PavelKunyavskiy,Russia,2623,2013/08/31
bmerry,South Africa,2610,2013/08/31
Egor,Germany,2603,2013/08/31
RAD,Russia,2590,2013/08/31
tmt514,Taiwan,2556,2013/08/31
tourist,Belarus,3210,2013/09/15
rng_58,Japan,2817,2013/09/15
Petr,Russia,2755,2013/09/15
RAVEman,Ukraine,2685,2013/09/15
scott_wu,United States,2643,2013/09/15
PavelKunyavskiy,Russia,2629,2013/09/15
bmerry,South Africa,2610,2013/09/15
KADR,Ukraine,2600,2013/09/15
niyaznigmatul,Russia,2598,2013/09/15
RAD,Russia,2590,2013/09/15
tourist,Belarus,3210,2013/09/21
rng_58,Japan,2851,2013/09/21
Petr,Russia,2729,2013/09/21
RAVEman,Ukraine,2685,2013/09/21
PavelKunyavskiy,Russia,2670,2013/09/21
scott_wu,United States,2643,2013/09/21
bmerry,South Africa,2610,2013/09/21
KADR,Ukraine,2600,2013/09/21
RAD,Russia,2590,2013/09/21
tmt514,Taiwan,2556,2013/09/21
tourist,Belarus,3210,2013/09/28
rng_58,Japan,2877,2013/09/28
Petr,Russia,2729,2013/09/28
RAVEman,Ukraine,2685,2013/09/28
PavelKunyavskiy,Russia,2670,2013/09/28
scott_wu,United States,2643,2013/09/28
bmerry,South Africa,2610,2013/09/28
KADR,Ukraine,2600,2013/09/28
RAD,Russia,2590,2013/09/28
niyaznigmatul,Russia,2570,2013/09/28
tourist,Belarus,3210,2013/10/05
rng_58,Japan,2934,2013/10/05
RAVEman,Ukraine,2685,2013/10/05
scott_wu,United States,2643,2013/10/05
Petr,Russia,2622,2013/10/05
bmerry,South Africa,2610,2013/10/05
KADR,Ukraine,2590,2013/10/05
RAD,Russia,2590,2013/10/05
al13n,United States,2572,2013/10/05
niyaznigmatul,Russia,2570,2013/10/05
tourist,Belarus,3210,2013/10/14
rng_58,Japan,2988,2013/10/14
RAVEman,Ukraine,2658,2013/10/14
Petr,Russia,2622,2013/10/14
bmerry,South Africa,2610,2013/10/14
PavelKunyavskiy,Russia,2590,2013/10/14
KADR,Ukraine,2590,2013/10/14
RAD,Russia,2590,2013/10/14
al13n,United States,2572,2013/10/14
scott_wu,United States,2571,2013/10/14
tourist,Belarus,3250,2013/10/15
rng_58,Japan,2988,2013/10/15
RAVEman,Ukraine,2658,2013/10/15
bmerry,South Africa,2641,2013/10/15
Petr,Russia,2622,2013/10/15
PavelKunyavskiy,Russia,2607,2013/10/15
RAD,Russia,2590,2013/10/15
scott_wu,United States,2571,2013/10/15
tmt514,Taiwan,2556,2013/10/15
Egor,Germany,2553,2013/10/15
tourist,Belarus,3250,2013/11/11
rng_58,Japan,2988,2013/11/11
PavelKunyavskiy,Russia,2662,2013/11/11
Egor,Germany,2643,2013/11/11
bmerry,South Africa,2641,2013/11/11
Petr,Russia,2622,2013/11/11
scott_wu,United States,2614,2013/11/11
RAVEman,Ukraine,2593,2013/11/11
RAD,Russia,2590,2013/11/11
mmaxio,Russia,2570,2013/11/11
tourist,Belarus,3250,2013/11/20
rng_58,Japan,2988,2013/11/20
Egor,Germany,2643,2013/11/20
bmerry,South Africa,2641,2013/11/20
Petr,Russia,2630,2013/11/20
scott_wu,United States,2614,2013/11/20
PavelKunyavskiy,Russia,2592,2013/11/20
RAD,Russia,2590,2013/11/20
niyaznigmatul,Russia,2587,2013/11/20
RAVEman,Ukraine,2560,2013/11/20
tourist,Belarus,3205,2013/11/27
rng_58,Japan,3010,2013/11/27
Egor,Germany,2732,2013/11/27
Petr,Russia,2676,2013/11/27
bmerry,South Africa,2641,2013/11/27
scott_wu,United States,2627,2013/11/27
PavelKunyavskiy,Russia,2615,2013/11/27
niyaznigmatul,Russia,2614,2013/11/27
RAD,Russia,2590,2013/11/27
RAVEman,Ukraine,2560,2013/11/27
tourist,Belarus,3209,2013/12/14
rng_58,Japan,2951,2013/12/14
Egor,Germany,2675,2013/12/14
PavelKunyavskiy,Russia,2669,2013/12/14
niyaznigmatul,Russia,2642,2013/12/14
bmerry,South Africa,2641,2013/12/14
scott_wu,United States,2627,2013/12/14
